"","X","SeriousDlqin2yrs","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents","agecat","incomecat"
"20181",20952,1,0.484536819,38,3,0.438926846,6000,5,0,1,0,2,"young","middle rich"
"15595",16187,0,0.139306325,46,0,0.682823387,3300,8,0,3,0,1,"middle","poor"
"12034",12508,0,0.290115092,57,1,0.307206431,3482,8,0,0,0,1,"middle","poor"
"125406",130105,0,0.44035244,48,0,0.422555464,4867,15,0,0,0,3,"middle","middle"
"52804",54806,0,0.004519467,66,0,0.231799651,5150,21,0,0,0,2,"middle","middle"
"136339",141436,0,0.191640418,61,0,0.163088168,13133,7,0,2,0,0,"middle","rich"
"60003",62286,0,0.277811503,72,0,0.274071403,11091,17,0,1,0,1,"middle","rich"
"18994",19714,0,0.000299985,63,0,0.047976012,2000,2,0,0,0,0,"middle","poor"
"129964",134827,0,0.63881531,71,0,2642,5400,9,0,1,0,0,"middle","middle"
"140276",145534,0,0.254016954,33,0,0.293594965,2700,6,0,0,0,0,"young","poor"
"104107",108051,0,0.06031953,43,2,0.324407375,4555,8,0,0,0,3,"young","middle"
"12875",13381,0,0.204431823,60,0,0.04269573,10000,6,0,0,0,1,"middle","rich"
"90880",94327,0,0.085458594,57,2,0.363091272,1500,7,0,1,0,0,"middle","poor"
"22057",22903,1,0.924302789,27,1,0.215301807,2600,3,0,0,1,3,"young","poor"
"104228",108174,0,0.550809589,45,0,0.560803733,10500,11,0,2,0,1,"middle","rich"
"115575",119914,0,0.17840065,51,0,0.006751905,121150,4,0,0,0,2,"middle","rich"
"24490",25432,0,0.433910381,27,0,1.210457516,764,5,0,0,0,0,"young","poor"
"24171",25101,0,0.320071571,33,0,0.077977721,2333,3,0,0,0,0,"young","poor"
"22045",22891,0,0,79,0,0.223119637,3961,4,0,1,0,0,"elder","middle"
"94403",97971,0,0.099742641,44,0,0.350756927,7001,20,0,2,1,3,"young","middle rich"
"4272",4443,0,0.0045665,58,0,0.014030612,1567,5,0,0,0,0,"middle","poor"
"31638",32846,0,0.032060552,55,0,0.5874,4999,4,0,1,0,1,"middle","middle"
"20496",21278,0,0,59,0,0,5416,4,0,0,0,0,"middle","middle rich"
"110667",114826,0,0,36,0,0.106276151,3584,2,0,0,1,2,"young","poor"
"81133",84199,0,0.003959599,86,0,0.001034126,2900,3,0,0,0,0,"elder","poor"
"67785",70341,0,0.061238701,67,0,0.325,18199,16,0,4,0,0,"middle","rich"
"137808",142962,0,0.197086902,56,6,0.223226117,8300,15,0,1,0,2,"middle","rich"
"101524",105387,0,0.407389772,37,0,0.265515576,8281,6,0,2,0,2,"young","rich"
"94177",97733,0,0.2008134,46,0,0.537494644,7000,7,0,2,0,1,"middle","middle rich"
"118572",123022,0,0,60,0,0,8200,4,0,0,0,0,"middle","rich"
"66757",69275,0,0.1943371,68,0,0.183803265,4716,13,0,0,0,0,"middle","middle"
"99358",103111,0,0.040887072,36,0,1.053982726,4167,9,0,1,1,0,"young","middle"
"61919",64265,0,0.172565487,34,0,25,5400,1,0,0,0,0,"young","middle"
"97304",100982,0,0.002424939,59,0,0.320350443,10500,7,0,1,0,0,"middle","rich"
"140612",145880,0,0.9999999,81,0,32,5400,2,0,0,0,0,"elder","middle"
"139828",145069,0,0.287881105,39,2,0.318613564,6000,10,0,2,0,2,"young","middle rich"
"51636",53616,0,0.248071963,44,0,0.11700314,11144,9,0,0,0,3,"young","rich"
"139268",144483,0,0.002412961,47,0,0.645118294,3000,5,0,1,0,1,"middle","poor"
"108639",112725,0,0.000651133,78,0,0,5400,4,0,0,0,0,"elder","middle"
"107680",111728,0,0.258544127,56,0,0.223231397,12000,6,0,1,0,3,"middle","rich"
"71359",74061,0,0.608270168,31,0,0.394077035,5503,6,0,2,0,0,"young","middle rich"
"14304",14864,0,0.296600755,37,0,0.148401203,3658,6,1,0,0,0,"young","poor"
"33605",34893,0,0.025529317,34,0,0.380161984,10000,10,0,2,0,2,"young","rich"
"7137",7413,0,0,42,0,0.93394823,3360,13,0,2,0,1,"young","poor"
"55564",57668,0,0.462859697,63,0,0.27909759,5850,5,0,2,0,0,"middle","middle rich"
"102328",106214,0,0.9999999,66,0,0.510934778,5166,5,0,2,0,0,"middle","middle"
"90219",93645,0,0.116211602,45,0,0.452614039,4800,16,0,1,0,2,"middle","middle"
"15773",16376,0,0.123988581,49,0,0.093913337,5930,8,0,0,0,1,"middle","middle rich"
"85260",88488,0,0.028431664,55,0,0.001939075,15986,5,0,0,0,1,"middle","rich"
"84759",87972,0,0.871289385,46,1,0.907533024,2800,9,0,1,0,3,"middle","poor"
"78041",80990,0,0.002057025,61,0,0.000171409,5833,3,0,0,0,2,"middle","middle rich"
"19370",20107,0,0.076131665,48,2,0.294131292,8621,16,0,1,1,0,"middle","rich"
"64069",66497,0,0.041140696,63,0,0.037781742,6166,6,0,0,0,0,"middle","middle rich"
"25196",26166,0,0.425913068,28,0,0.23503876,3224,6,0,0,0,0,"young","poor"
"24968",25929,0,0.119632738,52,0,0.349581771,10400,8,0,2,0,1,"middle","rich"
"144150",149562,0,0.029779893,64,0,0.322421586,7300,9,0,1,0,1,"middle","middle rich"
"66296",68801,0,0.002275653,69,0,0.24115177,3333,12,0,0,0,1,"middle","poor"
"23789",24707,0,0.9999999,28,0,691,5400,1,0,0,0,0,"young","middle"
"51746",53727,0,0.682263547,32,0,789,5400,3,0,0,0,0,"young","middle"
"135344",140404,0,0.014226363,67,0,2134,5400,9,0,2,0,0,"middle","middle"
"62539",64909,0,0.295713724,32,1,2.953311618,920,9,0,1,0,2,"young","poor"
"140603",145869,0,0.9999999,62,0,0.211778822,10000,3,0,1,0,0,"middle","rich"
"117407",121818,0,0.17790273,70,1,0.383067134,7700,13,0,2,0,0,"middle","rich"
"70724",73399,1,1.149101999,32,2,0.3552753,3250,11,0,0,1,0,"young","poor"
"142870",148223,0,0.423973159,43,0,0.22154584,5420,7,0,0,0,3,"young","middle rich"
"71468",74174,0,0.44162337,31,0,556,5400,12,0,0,0,0,"young","middle"
"45143",46864,0,0.456648104,55,0,0.09434468,7461,15,0,0,0,0,"middle","middle rich"
"142094",147420,0,0.13036156,31,0,0.314934389,4800,5,0,1,0,1,"young","middle"
"106198",110206,0,0.004950739,49,0,0.248216976,9954,5,0,1,0,2,"middle","rich"
"14854",15428,0,0.495561592,43,0,0.232834079,5140,11,0,0,0,1,"young","middle"
"75834",78711,0,0.595049999,59,1,0.40227227,9945,15,0,2,0,0,"middle","rich"
"51295",53264,0,0.666232073,27,1,1.638554217,248,4,0,0,0,0,"young","poor"
"83529",86694,0,0.08004873,63,0,0.71027441,4700,9,0,3,0,1,"middle","middle"
"41550",43134,0,0.104807051,53,0,0.111675127,4333,2,0,1,0,1,"middle","middle"
"136654",141764,0,0.010029429,74,0,0.134178801,6386,12,0,1,0,0,"middle","middle rich"
"120783",125307,0,0.005367306,56,0,2921,5400,13,0,3,0,0,"middle","middle"
"31277",32475,0,0.919051474,32,0,0.331671888,7021,8,0,1,0,0,"young","middle rich"
"76250",79136,0,0.969621941,43,0,0.227675528,4400,4,0,0,0,0,"young","middle"
"52736",54736,0,0.089536494,55,0,2975,5400,10,0,2,0,0,"middle","middle"
"20702",21493,0,0.419187482,60,0,0.453648915,3548,8,0,1,0,0,"middle","poor"
"67458",69999,0,0.169535822,29,0,0.050974513,2000,5,0,0,0,0,"young","poor"
"134300",139321,0,0.014679312,63,0,0.01019796,5000,9,0,0,0,0,"middle","middle"
"13530",14055,0,0.006196515,59,0,2022,5400,13,0,1,0,0,"middle","middle"
"112275",116486,0,0.32526561,28,0,0.142267541,4118,4,0,0,0,2,"young","middle"
"99278",103028,0,0.9999999,44,1,0.167753151,2300,4,0,0,0,1,"young","poor"
"17570",18244,0,0.9999999,50,0,0.285714286,8833,4,0,1,0,2,"middle","rich"
"95612",99227,0,0.02316847,64,0,0.043195675,17385,17,0,0,0,0,"middle","rich"
"51651",53631,0,0.020561223,68,0,0.297687359,5750,10,0,1,0,1,"middle","middle rich"
"40488",42028,0,0.509936183,38,0,0.801389327,3166,7,0,2,0,1,"young","poor"
"143656",149043,0,0.272842746,43,0,0.457412168,5834,15,0,1,0,1,"young","middle rich"
"1739",1804,1,0.9999999,79,0,190,5400,0,0,0,0,0,"elder","middle"
"104035",107978,0,0.248427819,26,0,0.197508076,6500,11,0,0,0,0,"young","middle rich"
"127890",132678,0,0,39,0,0.135042936,8500,9,0,1,0,3,"young","rich"
"59492",61759,0,0.97692103,42,0,0.469506099,5000,6,0,3,0,1,"young","middle"
"65141",67598,0,0.05353468,44,0,0.12078697,6200,6,0,1,0,2,"young","middle rich"
"25176",26145,1,0.809177392,40,1,0.796228841,4666,7,0,2,0,3,"young","middle"
"7629",7923,0,0,67,0,0,5400,1,0,0,0,2,"middle","middle"
"132749",137719,0,0.243506113,52,1,0.016259456,11500,4,0,0,0,1,"middle","rich"
"107080",111112,0,0.100214538,66,0,930,5400,9,0,0,0,0,"middle","middle"
"28177",29257,0,0.009273023,41,0,1778,5400,8,0,2,0,0,"young","middle"
"60236",62526,0,1.012285276,53,0,0.807062655,11666,10,0,3,0,0,"middle","rich"
"8252",8569,0,0.134599236,39,1,0.137033516,8413,14,0,0,0,1,"young","rich"
"76731",79635,0,0.28238823,45,0,0.323256751,2480,6,0,0,0,0,"middle","poor"
"126949",131701,0,0,52,0,0,8000,3,0,0,0,0,"middle","rich"
"73201",75974,0,0.14773253,56,0,0.189835072,5941,14,0,0,0,0,"middle","middle rich"
"37723",39164,0,0.567234314,38,0,0.271899716,6700,6,0,0,0,2,"young","middle rich"
"35262",36607,0,0.007254783,76,0,0.094891838,5500,11,0,1,0,0,"elder","middle rich"
"9128",9484,0,0.051894811,50,0,15,5400,1,0,0,0,0,"middle","middle"
"86494",89765,0,0.858880779,25,1,0.067983004,4000,4,0,0,0,0,"young","middle"
"33400",34681,0,0.181280832,31,0,0.098906958,3750,8,0,0,0,0,"young","poor"
"92617",96123,0,0.017497084,54,0,3,5400,1,0,0,0,0,"middle","middle"
"93402",96936,0,0.007808328,65,0,2460,5400,10,0,1,0,0,"middle","middle"
"34591",35918,1,1.238451935,30,1,0.114647559,6000,5,0,0,1,0,"young","middle rich"
"15032",15610,0,0.008059839,52,1,0.296526991,10595,10,0,1,0,3,"middle","rich"
"130901",135802,0,0.166390025,45,0,0.181381958,5209,4,0,0,0,3,"middle","middle"
"124367",129027,0,0.10531281,46,0,0.470596571,7056,15,0,2,0,1,"middle","middle rich"
"57327",59492,1,0.886045582,46,0,0.659083305,2988,6,0,1,1,2,"middle","poor"
"41633",43218,0,0.389348559,40,0,0.340460983,3600,5,0,0,0,2,"young","poor"
"55799",57913,0,0.9999999,39,0,0.619430011,6350,5,0,3,0,3,"young","middle rich"
"43838",45500,0,0.134863985,56,0,971,5400,5,0,1,0,0,"middle","middle"
"38760",40238,0,0.005705574,82,0,11,5400,8,0,0,0,0,"elder","middle"
"87593",90897,1,0.359657148,45,0,0.846314988,5250,9,0,2,0,0,"middle","middle"
"139002",144202,0,0.105064665,47,0,0.284914638,3572,6,0,1,0,2,"middle","poor"
"113484",117747,0,0.060068608,81,0,0.245510091,5400,9,0,0,0,0,"elder","middle"
"130102",134966,0,0.097090716,52,0,0.392105607,7650,8,0,2,0,1,"middle","rich"
"110574",114729,0,0.184450353,45,0,0.392331933,9519,10,1,3,0,0,"middle","rich"
"68181",70749,0,0.014073087,72,0,0.00999524,2100,4,0,0,0,0,"middle","poor"
"125241",129932,0,0.124759634,25,0,0.455353176,2250,4,0,0,0,0,"young","poor"
"54594",56655,0,0.707070311,47,0,0.630808223,3550,5,0,0,0,1,"middle","poor"
"84298",87495,1,0.542812768,47,0,0.706597613,4440,10,0,1,0,3,"middle","middle"
"117385",121795,0,0,64,0,0.256774767,2250,3,0,1,0,1,"middle","poor"
"74439",77256,0,0.9999999,76,0,0.081401716,5478,5,0,0,0,0,"elder","middle rich"
"112515",116731,0,0.107635695,50,0,0.607805193,6200,10,0,2,0,0,"middle","middle rich"
"5202",5407,0,0.095583035,54,0,3743,5400,8,0,2,0,0,"middle","middle"
"17144",17798,0,0.209186054,41,0,0.212645363,10232,5,1,2,0,3,"young","rich"
"141187",146476,0,0.047864093,41,0,0.017087802,5500,8,0,0,0,2,"young","middle rich"
"81186",84252,0,0.040447978,52,0,4904,5400,7,0,2,0,0,"middle","middle"
"62994",65375,0,0.135458167,51,0,0.008122577,5416,1,0,0,0,0,"middle","middle rich"
"126809",131551,0,0.081278565,77,0,0.026825633,4025,12,0,0,0,0,"elder","middle"
"117112",121512,0,0.866491835,60,0,0.597638862,5166,10,0,0,0,0,"middle","middle"
"75573",78441,0,0.9999999,85,0,2,5400,2,0,0,0,0,"elder","middle"
"114803",119110,0,0.597054716,64,0,0.346721639,7518,16,0,0,0,1,"middle","rich"
"96072",99711,1,0.978572449,38,1,1.084692267,1900,5,0,1,0,1,"young","poor"
"90349",93778,0,0.14369779,63,0,0.239701222,4417,5,0,0,0,0,"middle","middle"
"116205",120571,0,0.909628058,37,0,0.344109315,6000,12,0,1,0,1,"young","middle rich"
"13541",14067,0,0.009924092,54,1,0.186639655,19250,9,0,2,0,3,"middle","rich"
"134876",139918,0,0.320828108,46,0,0.198076127,9667,13,0,1,0,0,"middle","rich"
"48169",50005,0,0.22324159,44,0,0.250066649,3750,5,0,1,0,0,"young","poor"
"40014",41534,0,0.059471778,63,0,0.198583333,11999,7,0,1,0,1,"middle","rich"
"106098",110105,0,0.9999999,26,0,0,764,1,0,0,0,0,"young","poor"
"83073",86223,0,0.176730977,60,0,397,5400,8,0,0,0,0,"middle","middle"
"28059",29138,0,0.61618569,42,1,0.585517346,6600,15,0,1,0,0,"young","middle rich"
"51286",53255,0,0.002538543,79,0,838,5400,8,0,2,0,0,"elder","middle"
"138068",143232,0,0.820550241,41,0,0.754703007,6750,7,0,2,0,3,"young","middle rich"
"122156",126735,0,0.9999999,22,0,346,5400,1,0,0,0,0,"young","middle"
"23066",23951,0,0.61872133,56,0,0.386169548,4800,10,0,0,0,3,"middle","middle"
"119365",123837,1,0.9999999,47,0,0.64928292,2300,5,0,1,1,0,"middle","poor"
"43813",45474,0,0.130173535,50,0,0.682513773,4900,10,0,1,0,0,"middle","middle"
"82732",85868,0,0.9999999,69,2,0.498677637,3402,4,0,1,2,0,"middle","poor"
"114517",118815,0,0.009428235,51,0,0.860063607,2200,9,0,1,0,2,"middle","poor"
"75483",78347,0,0.033715694,48,0,0.324168958,4000,12,0,1,0,1,"middle","middle"
"123274",127898,0,0.234100008,82,3,0.576284743,5000,19,0,2,0,2,"elder","middle"
"33664",34952,0,0.06589688,50,1,0.223569696,7008,8,0,1,0,2,"middle","middle rich"
"135080",140127,0,1.109634551,27,0,0.066266781,3500,2,1,0,0,0,"young","poor"
"69601",72225,0,0.171009174,66,0,0.011999495,7916,3,0,0,0,0,"middle","rich"
"19569",20313,0,0.25689568,59,0,189,5400,4,0,0,0,0,"middle","middle"
"124101",128751,0,0.372992255,47,2,0.661725781,11333,21,0,3,0,3,"middle","rich"
"134362",139383,0,0.026800355,61,0,0.057414347,7471,10,0,0,0,0,"middle","middle rich"
"2938",3055,0,0.9999999,40,0,0,5400,4,0,0,0,0,"young","middle"
"42245",43849,0,0.034478621,65,0,1629,5400,7,0,1,0,0,"middle","middle"
"79176",82170,0,0,44,0,0.348271033,9282,4,0,2,0,2,"young","rich"
"37834",39277,0,0.1506891,61,1,0.365873271,6217,14,0,3,0,2,"middle","middle rich"
"128596",133408,0,0.991773439,38,0,2965,5400,8,0,1,0,0,"young","middle"
"68073",70635,0,0.010576176,44,0,1.086423734,3100,15,0,1,0,0,"young","poor"
"136351",141449,0,0.019997728,29,0,0.002776235,1800,3,0,0,0,0,"young","poor"
"15516",16105,0,1.559300874,37,0,55,5400,3,0,0,0,0,"young","middle"
"107311",111350,0,0.086617692,40,0,0.033202428,2800,4,0,0,0,0,"young","poor"
"26725",27750,0,0.081970402,54,0,0.311981648,11333,19,0,1,0,2,"middle","rich"
"120286",124796,0,0.715418972,51,1,0.596203043,7426,8,0,2,0,0,"middle","middle rich"
"17162",17817,1,0.9999999,70,6,0.606926098,2800,6,2,1,0,1,"middle","poor"
"46059",47816,0,0.339925536,35,0,0.456708658,5000,13,0,1,0,0,"young","middle"
"9868",10262,1,0.051134134,48,0,0.4029036,8609,13,0,1,0,4,"middle","rich"
"10903",11334,0,0,54,2,0.447095844,7626,8,0,1,0,2,"middle","rich"
"104902",108871,0,0,51,0,0.224535734,3553,2,0,1,0,1,"middle","poor"
"55333",57429,1,0.604276775,42,1,0.678264347,5000,17,0,1,1,2,"young","middle"
"4607",4791,0,0.017448035,63,0,0.002551548,14500,4,0,0,0,1,"middle","rich"
"114809",119116,0,0.088921367,63,0,0.170217676,13000,14,0,2,0,0,"middle","rich"
"75795",78672,0,1.28452579,34,2,0.688362328,3333,8,1,2,1,1,"young","poor"
"79416",82417,0,0.317917827,54,0,0.634836516,10000,21,0,2,0,1,"middle","rich"
"8913",9263,0,0.9999999,46,0,0.105961436,5652,3,0,0,0,0,"middle","middle rich"
"75134",77982,0,0.011751842,66,0,0.203143639,14250,21,0,1,0,0,"middle","rich"
"106252",110261,1,0.9999999,28,0,87,5400,1,1,0,0,0,"young","middle"
"42387",44000,0,0.288933809,52,0,0.707063197,4034,9,0,1,0,0,"middle","middle"
"81634",84717,0,0.116444331,77,0,991,5400,9,0,0,0,0,"elder","middle"
"110011",114138,0,0.258093548,36,0,0.243533123,3169,5,0,0,0,0,"young","poor"
"118783",123240,0,0.039812357,30,0,0.164253206,2416,9,0,0,0,0,"young","poor"
"75562",78430,0,0.622179135,86,0,0.241774223,5500,11,0,0,0,1,"elder","middle rich"
"62607",64979,0,0.965044108,57,0,2575,5400,10,0,0,0,0,"middle","middle"
"95518",99130,0,0.25932784,53,2,0.12363359,11800,8,0,1,0,3,"middle","rich"
"76856",79765,0,0.054091436,39,0,0.42387517,6600,10,0,2,0,3,"young","middle rich"
"3569",3708,0,0.028980974,66,0,0.226452378,7590,13,0,1,0,0,"middle","rich"
"9021",9373,0,0.009660587,54,0,0.154393305,4779,9,0,1,0,0,"middle","middle"
"4460",4638,0,0.645490301,51,0,0.507088332,2750,10,0,0,0,1,"middle","poor"
"129426",134273,0,0.942500491,31,1,0.199777338,8083,9,0,0,0,0,"young","rich"
"90832",94277,0,0.9999999,42,0,755,5400,2,0,0,0,0,"young","middle"
"100015",103789,0,0.157070244,33,0,769,5400,4,0,0,0,0,"young","middle"
"48740",50603,0,0.009246513,65,1,0.215291107,6251,9,0,1,0,0,"middle","middle rich"
"96458",100106,0,0.229371389,54,0,0.351329734,5000,11,0,1,0,1,"middle","middle"
"36360",37744,0,0.130449866,50,0,0.364429368,4126,15,0,1,0,3,"middle","middle"
"67603",70149,0,0.006613274,46,0,0.616021646,12195,17,0,7,0,0,"middle","rich"
"25576",26552,0,0.146143626,66,0,0.010331611,6000,2,0,0,0,0,"middle","middle rich"
"60144",62431,0,0.387272495,63,0,2649,5400,15,0,0,0,0,"middle","middle"
"103108",107019,0,0.595614063,50,0,0.468115124,3543,6,0,1,0,0,"middle","poor"
"108038",112098,0,0.135510806,57,0,0.05539723,20000,6,0,1,0,0,"middle","rich"
"84169",87361,0,0.144522667,30,0,0.206259509,4600,16,0,0,0,0,"young","middle"
"49672",51578,0,0.385780711,60,0,0.179605231,20416,6,0,2,0,2,"middle","rich"
"138029",143191,0,0.087472764,56,0,0.690731573,7271,16,0,3,0,0,"middle","middle rich"
"87160",90450,0,0.919566561,53,0,0.39728636,4200,5,0,2,0,4,"middle","middle"
"86534",89805,0,0.007314453,47,0,0.134966258,4000,26,0,0,0,0,"middle","middle"
"77942",80887,0,0.048223584,54,0,0.24505099,10001,13,0,1,0,0,"middle","rich"
"131924",136859,0,0.9999999,61,0,0,4167,0,0,0,0,0,"middle","middle"
"50747",52694,0,0.998892342,36,0,0.924018995,4000,7,0,1,0,2,"young","middle"
"61672",64015,0,0.10841486,61,0,0.155867331,16250,7,0,2,0,0,"middle","rich"
"46368",48133,0,0.9999999,47,0,126,5400,0,0,0,0,2,"middle","middle"
"27820",28889,0,0.065842777,84,0,51,5400,3,0,0,0,0,"elder","middle"
"44824",46528,0,0.015662551,54,0,2502,5400,9,0,2,0,2,"middle","middle"
"86375",89639,0,0.002526257,38,0,0.152122855,5534,9,0,0,0,2,"young","middle rich"
"33398",34679,0,0.092536406,57,1,0.175514019,5349,22,0,0,0,2,"middle","middle"
"39626",41132,0,0.595157712,61,0,0.542904749,3600,7,0,2,0,0,"middle","poor"
"2901",3018,0,0.9999999,65,0,0.049382716,404,4,0,0,0,0,"middle","poor"
"136891",142012,0,0.9999999,59,0,0.068856515,7275,1,0,0,0,1,"middle","middle rich"
"63676",66090,0,0.665519354,62,0,0.455227172,6800,11,1,1,0,0,"middle","middle rich"
"95987",99619,0,0.010597187,62,0,0.191361728,5000,4,0,1,0,1,"middle","middle"
"107055",111086,0,0.033865185,56,0,0.392702536,4850,16,0,1,0,3,"middle","middle"
"140763",146036,0,0.038448472,52,0,0.530426398,9333,10,0,3,0,3,"middle","rich"
"134079",139090,0,0.030665937,35,0,0.314013841,4623,6,0,1,0,0,"young","middle"
"123440",128071,0,0.595660108,63,0,0.197640582,12714,5,0,1,0,0,"middle","rich"
"52720",54719,0,0.056928205,47,0,2268,5400,7,0,1,0,0,"middle","middle"
"125888",130603,0,0.037765085,47,0,3546,5400,6,0,2,0,0,"middle","middle"
"116918",121309,0,0.303867403,58,0,0.347908745,5259,5,1,1,0,1,"middle","middle"
"94503",98076,0,0.818129872,36,0,0.354551241,3141,9,0,0,0,3,"young","poor"
"75928",78806,0,0.186551487,47,0,1633,5400,7,0,0,0,2,"middle","middle"
"50035",51956,0,0.236731598,63,0,0.410260126,13800,18,0,2,0,2,"middle","rich"
"117626",122043,0,0,47,0,0,3333,4,0,0,0,0,"middle","poor"
"82524",85650,0,0.478493621,59,0,0.410051256,15997,14,0,2,0,1,"middle","rich"
"2469",2567,0,0.460788025,44,0,2977,5400,6,0,1,0,1,"young","middle"
"3636",3778,1,0.922538497,54,0,0.643114251,7500,6,0,2,1,0,"middle","middle rich"
"102260",106146,0,0.026457832,75,0,40,5400,5,0,0,0,0,"middle","middle"
"129402",134249,0,0.011996001,77,0,0.002249438,4000,3,0,0,0,0,"elder","middle"
"74020",76821,0,0,69,0,0.087165134,2500,11,0,0,0,0,"middle","poor"
"33234",34507,0,0,29,0,0,2125,2,0,0,0,0,"young","poor"
"108692",112780,0,0.234675117,49,0,0.559182473,6800,18,0,2,0,3,"middle","middle rich"
"45214",46938,0,0,72,0,2,5400,4,0,0,0,0,"middle","middle"
"87319",90615,0,0.9999999,39,0,0.06372674,3922,1,0,0,0,0,"young","middle"
"93468",97006,0,0,58,0,0,8400,5,0,0,0,0,"middle","rich"
"39667",41175,0,1.039481324,45,0,0.05974765,8083,2,0,0,0,0,"middle","rich"
"96518",100169,0,0.066841763,45,0,4123,5400,7,0,1,0,0,"middle","middle"
"41960",43555,0,0.009005753,57,0,1361,5400,7,0,1,0,0,"middle","middle"
"34739",36071,0,0.918385202,48,0,0.569850039,3800,6,0,1,0,1,"middle","poor"
"10316",10724,0,0.000381674,63,0,0.20118725,7748,13,0,1,0,1,"middle","rich"
"124233",128887,0,0.30283797,63,0,2866,5400,8,0,2,0,0,"middle","middle"
"29086",30191,0,0.580945222,61,0,0.333976055,22300,9,0,5,0,1,"middle","rich"
"126881",131630,0,0.969079429,48,0,0.431174314,9000,14,0,1,0,4,"middle","rich"
"118688",123143,0,0.573843023,32,0,0.347720068,4100,7,0,1,0,0,"young","middle"
"26436",27454,0,0.541688491,46,0,0.090135635,8109,5,0,0,0,1,"middle","rich"
"6593",6841,0,0.27089097,47,0,0.51845108,8237,9,0,2,0,0,"middle","rich"
"137430",142567,0,0.851029794,27,1,1020,5400,8,0,0,0,3,"young","middle"
"68365",70939,0,0.97219839,73,1,0.431007752,13544,15,0,2,0,1,"middle","rich"
"113309",117564,0,0.547230456,48,0,0.520895821,5000,7,0,2,0,2,"middle","middle"
"104641",108602,0,0.179164167,41,1,0.830141549,1200,4,0,2,0,0,"young","poor"
"107698",111746,0,0.9999999,58,0,1,5400,2,0,0,0,2,"middle","middle"
"749",778,0,0.014688043,82,0,13,5400,4,0,0,0,0,"elder","middle"
"11651",12109,0,0,47,0,0.457270612,21916,14,0,5,0,3,"middle","rich"
"67314",69852,0,0.042442122,60,0,0.320425329,6300,22,0,2,0,0,"middle","middle rich"
"101243",105091,0,0.333000472,71,0,0.456780008,2440,15,1,0,0,0,"middle","poor"
"37684",39125,0,0.134354198,51,0,0.478443214,5960,5,0,1,0,1,"middle","middle rich"
"67711",70263,0,0.022005626,63,0,0.075822368,6079,18,0,0,0,0,"middle","middle rich"
"51127",53091,0,0.399554718,57,0,0.179377321,3500,6,0,0,0,0,"middle","poor"
"131160",136068,1,0.9999999,43,0,0,5400,0,1,0,0,0,"young","middle"
"56030",58154,0,0.009057608,81,0,28,5400,12,0,0,0,0,"elder","middle"
"56928",59079,0,0.031536192,66,0,0.117568851,5264,6,0,0,0,1,"middle","middle"
"103959",107900,0,0.100628048,69,0,0.232911133,19500,12,0,3,0,0,"middle","rich"
"140476",145738,0,0,77,0,0.126548196,1856,2,0,0,0,1,"elder","poor"
"19264",19998,0,0.071401102,58,0,0.509324009,857,6,0,0,0,0,"middle","poor"
"24769",25721,0,0.027588261,68,0,0.008822164,6460,7,0,0,0,0,"middle","middle rich"
"12276",12764,0,0.000833302,93,0,0,2500,10,0,0,0,0,"elder","poor"
"107376",111415,0,0.008127314,52,1,2239,5400,6,0,2,0,0,"middle","middle"
"134429",139452,0,0.019345782,71,0,0.062743302,4366,7,0,1,0,0,"middle","middle"
"138768",143955,0,0.051502639,58,0,0.330667333,4000,15,0,1,0,1,"middle","middle"
"4158",4321,0,0.835609074,31,0,0.262453046,6122,11,0,1,0,1,"young","middle rich"
"114606",118907,0,0.758850479,33,0,0.188212309,3070,2,0,0,0,0,"young","poor"
"64572",67015,0,0.023808107,31,0,544,0,10,0,0,0,1,"young","poor"
"69107",71704,0,0.015941567,33,0,0.654896736,1500,8,0,2,0,2,"young","poor"
"78470",81436,0,0.9999999,23,0,0,5400,0,0,0,0,0,"young","middle"
"108072",112136,0,0.962185206,35,0,0.609311255,4166,9,0,0,0,2,"young","middle"
"136712",141827,0,0.380979271,58,0,0.384027188,3530,5,0,1,0,0,"middle","poor"
"117370",121780,0,0.004482449,69,0,2336,5400,6,0,1,0,0,"middle","middle"
"69037",71630,0,0.074050683,50,0,0.903962322,9766,12,0,4,0,0,"middle","rich"
"8423",8749,0,0.127657447,46,0,0.481825909,20000,15,0,4,1,2,"middle","rich"
"33131",34397,0,0,24,0,0.301349325,2000,2,0,1,0,0,"young","poor"
"135960",141045,0,0.100777039,51,0,2.036120732,2020,10,0,1,0,1,"middle","poor"
"80820",83872,1,0.924215157,47,2,0.313124867,4700,7,5,0,1,3,"middle","middle"
"77958",80903,0,0.536658645,43,0,0.419052813,11000,15,0,2,0,1,"young","rich"
"95923",99552,0,0.963822257,62,1,2808,5400,11,0,1,0,0,"middle","middle"
"32018",33246,0,0.103007061,68,0,86,5400,7,0,0,0,0,"middle","middle"
"85440",88676,0,0.810152672,41,1,2380,5400,6,0,1,0,3,"young","middle"
"14405",14969,1,1.00159968,42,1,0.083563748,3254,3,1,0,0,4,"young","poor"
